position,username,user_id,title,text,highlighs,link,location,sentimen,label,address,latitude,longitude,words,stop_words,stemmed_words,processed
10,sirodjudin01,7.51e+17,Lyn (@Lolypop502) / X,Tim Likuidasi Wanaartha Life Siap Cairkan Aset Investasi Obligasi https://t.co/sOtIIvkfCl.,['Wanaartha Life'],https://twitter.com/Lolypop502,"Banjarnegara,Indonesia",Positif,1,"Banjarnegara, Jawa Tengah, Indonesia",-7.3558733,109.6600728,"['Tim', 'Likuidasi', 'Wanaartha', 'Life', 'Siap', 'Cairkan', 'Aset', 'Investasi', 'Obligasi', 'https']","['Tim', 'Likuidasi', 'Wanaartha', 'Life', 'Siap', 'Cairkan', 'Aset', 'Investasi', 'Obligasi', 'https']","['tim', 'likuidasi', 'wanaartha', 'life', 'siap', 'cair', 'aset', 'investasi', 'obligasi', 'https']",tim likuidasi wanaartha life siap cair aset investasi obligasi https
11,tribunnews,124171593.0,webarq,A new year means a new online presence #byWEBARQ for WanaArtha Life - now up on https://t.co/nwPFzzcL3Y.,['WanaArtha Life'],https://twitter.com/webarq/status/816502229792276480,"DKI Jakarta,Indonesia",Netral,2,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183,"['A', 'new', 'year', 'means', 'a', 'new', 'online', 'presence', 'byWEBARQ', 'for', 'WanaArtha', 'Life', 'now', 'up', 'on', 'https']","['A', 'new', 'year', 'means', 'a', 'new', 'online', 'presence', 'byWEBARQ', 'for', 'WanaArtha', 'Life', 'now', 'up', 'on', 'https']","['a', 'new', 'year', 'means', 'a', 'new', 'online', 'presence', 'bywebarq', 'for', 'wanaartha', 'life', 'now', 'up', 'on', 'https']",a new year means a new online presence bywebarq for wanaartha life now up on https
12,sofians,19049983.0,webarq,"... U1QE. Image. WEBARQ Â· @webarq. Â·. Jan 4, 2017. A new year means a new online presence #byWEBARQ for WanaArtha Life - now up on http://webarq.co/d4CN. Image.",['WanaArtha Life'],https://twitter.com/webarq,"DKI Jakarta,Indonesia",Netral,2,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183,"['Image', 'WEBARQ', 'webarq', 'Jan', 'A', 'new', 'year', 'means', 'a', 'new', 'online', 'presence', 'byWEBARQ', 'for', 'WanaArtha', 'Life', 'now', 'up', 'on', 'http', 'Image']","['Image', 'WEBARQ', 'webarq', 'Jan', 'A', 'new', 'year', 'means', 'a', 'new', 'online', 'presence', 'byWEBARQ', 'for', 'WanaArtha', 'Life', 'now', 'up', 'on', 'http', 'Image']","['image', 'webarq', 'webarq', 'jan', 'a', 'new', 'year', 'means', 'a', 'new', 'online', 'presence', 'bywebarq', 'for', 'wanaartha', 'life', 'now', 'up', 'on', 'http', 'image']",image webarq webarq jan a new year means a new online presence bywebarq for wanaartha life now up on http image
13,SiNiel1,1.03e+18,Ini Kabar Terbaru Asuransi Bermasalah Kresna Life & ...,OJK telah memberi sanksi Pencabutan Izin Usaha (CIU) ke PT Asuransi Jiwa Adisarana Wanaartha (Wanaartha Life) dan PT Asuransi Jiwa Kresna (Â ...,['Wanaartha Life'],https://twitter.com/cnbcindonesia/status/1719986437133943099,Kalimantan Barat,Positif,1,"Kalimantan Barat, Indonesia",-0.1322387,111.0968901,"['OJK', 'telah', 'memberi', 'sanksi', 'Pencabutan', 'Izin', 'Usaha', 'CIU', 'ke', 'PT', 'Asuransi', 'Jiwa', 'Adisarana', 'Wanaartha', 'Wanaartha', 'Life', 'dan', 'PT', 'Asuransi', 'Jiwa', 'Kresna', 'Â']","['OJK', '', 'memberi', 'sanksi', 'Pencabutan', 'Izin', 'Usaha', 'CIU', '', 'PT', 'Asuransi', 'Jiwa', 'Adisarana', 'Wanaartha', 'Wanaartha', 'Life', '', 'PT', 'Asuransi', 'Jiwa', 'Kresna', 'Â']","['ojk', '', 'beri', 'sanksi', 'cabut', 'izin', 'usaha', 'ciu', '', 'pt', 'asuransi', 'jiwa', 'adisarana', 'wanaartha', 'wanaartha', 'life', '', 'pt', 'asuransi', 'jiwa', 'kresna', '']",ojk  beri sanksi cabut izin usaha ciu  pt asuransi jiwa adisarana wanaartha wanaartha life  pt asuransi jiwa kresna 
14,ab_anward,2589464034.0,"KAP Wanaartha Lakukan 2 Audit Sekaligus, Timnya 60 ...",Kantor Akuntan Publik (KAP) telah mulai bekerja dalam proses likuidasi Asuransi Jiwa Adisarana Wanaartha (Wanaartha LIfe/WAL). Adapun prosesÂ ...,['Wanaartha LIfe'],https://twitter.com/cnbcindonesia/status/1655784049280159745,"Jakarta Pusat,DKI Jakarta",Netral,2,"Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia",-6.18233995,106.8428715,"['Kantor', 'Akuntan', 'Publik', 'KAP', 'telah', 'mulai', 'bekerja', 'dalam', 'proses', 'likuidasi', 'Asuransi', 'Jiwa', 'Adisarana', 'Wanaartha', 'Wanaartha', 'Adapun', 'prosesÂ']","['Kantor', 'Akuntan', 'Publik', 'KAP', '', 'mulai', 'bekerja', '', 'proses', 'likuidasi', 'Asuransi', 'Jiwa', 'Adisarana', 'Wanaartha', 'Wanaartha', 'Adapun', 'prosesÂ']","['kantor', 'akuntan', 'publik', 'kap', '', 'mulai', 'kerja', '', 'proses', 'likuidasi', 'asuransi', 'jiwa', 'adisarana', 'wanaartha', 'wanaartha', 'adapun', 'proses']",kantor akuntan publik kap  mulai kerja  proses likuidasi asuransi jiwa adisarana wanaartha wanaartha adapun proses
15,kusnida_iman,7.72e+17,Katadata.co.id,"Top News: Nasabah Wanaartha Life Protes OJK, Sepak Terjang PT TMI Berikut 5 artikel populer https://t.co/ObAXGQ0Gwc pada Senin (8/1).",['Wanaartha Life'],https://twitter.com/KATADATAcoid/status/1744549482656837872,"Makassar,SulawesiSelata",Negatif,0,"Makassar ????, Galesong Selatan, Sulawesi Selatan, 90115, Indonesia",-5.1342962,119.4124282,"['Top', 'News', 'Nasabah', 'Wanaartha', 'Life', 'Protes', 'OJK', 'Sepak', 'Terjang', 'PT', 'TMI', 'Berikut', 'artikel', 'populer', 'https', 'pada', 'Senin']","['Top', 'News', 'Nasabah', 'Wanaartha', 'Life', 'Protes', 'OJK', 'Sepak', 'Terjang', 'PT', 'TMI', 'Berikut', 'artikel', 'populer', 'https', '', 'Senin']","['top', 'news', 'nasabah', 'wanaartha', 'life', 'protes', 'ojk', 'sepak', 'terjang', 'pt', 'tmi', 'ikut', 'artikel', 'populer', 'https', '', 'senin']",top news nasabah wanaartha life protes ojk sepak terjang pt tmi ikut artikel populer https  senin
16,BappenasRI,235021856.0,Investor Daily,"Aspan dan Prolife belum sampai tahap pembayaran klaim, sedangkan Wanaartha Life sudah melalui pembayaran klaim tahap 1.",['Wanaartha Life'],https://twitter.com/InvestorID/status/1765697048500957545,www.bappenas.go.id,Positif,1,"Menteng, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia",-6.1950265,106.8322242,"['Aspan', 'dan', 'Prolife', 'belum', 'sampai', 'tahap', 'pembayaran', 'klaim', 'sedangkan', 'Wanaartha', 'Life', 'sudah', 'melalui', 'pembayaran', 'klaim', 'tahap']","['Aspan', '', 'Prolife', '', '', 'tahap', 'pembayaran', 'klaim', '', 'Wanaartha', 'Life', '', 'melalui', 'pembayaran', 'klaim', 'tahap']","['aspan', '', 'prolife', '', '', 'tahap', 'bayar', 'klaim', '', 'wanaartha', 'life', '', 'lalu', 'bayar', 'klaim', 'tahap']",aspan  prolife   tahap bayar klaim  wanaartha life  lalu bayar klaim tahap
17,KompasData,771030588.0,Nasabah Desak OJK Tindak Pemilik WanaArtha Life Pidana ...,Nasabah Desak OJK Tindak Pemilik WanaArtha Life Pidana Keuangan https://t.co/NFWDMsob92 #TempoBisnis.,['WanaArtha Life'],https://twitter.com/tempodotco/status/1744358697516572953,"Palmerah,Jakarta",Negatif,0,"Palmerah, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",-6.1910017,106.7943633,"['Nasabah', 'Desak', 'OJK', 'Tindak', 'Pemilik', 'WanaArtha', 'Life', 'Pidana', 'Keuangan', 'https', 'TempoBisnis']","['Nasabah', 'Desak', 'OJK', 'Tindak', 'Pemilik', 'WanaArtha', 'Life', 'Pidana', 'Keuangan', 'https', 'TempoBisnis']","['nasabah', 'desak', 'ojk', 'tindak', 'milik', 'wanaartha', 'life', 'pidana', 'uang', 'https', 'tempobisnis']",nasabah desak ojk tindak milik wanaartha life pidana uang https tempobisnis
18,dflfp,197713730.0,"Korban Wanaartha Meninggal Usai Sidang, Ini Kata Kuasa ...",Satu korban gagal bayar Asuransi Wanaartha Life meninggal usai terlibat kericuhan di persidangan gugatan class action. 5:55 AM Â· Dec 20Â ...,['Wanaartha Life'],https://twitter.com/cnbcindonesia/status/1737350868868141420,"Kalimantan Timur,Indonesia",Negatif,0,"Kalimantan Timur, Indonesia",0.7884397,116.2419977,"['Satu', 'korban', 'gagal', 'bayar', 'Asuransi', 'Wanaartha', 'Life', 'meninggal', 'usai', 'terlibat', 'kericuhan', 'di', 'persidangan', 'gugatan', 'class', 'action', 'AM', 'Dec']","['Satu', 'korban', 'gagal', 'bayar', 'Asuransi', 'Wanaartha', 'Life', 'meninggal', 'usai', 'terlibat', 'kericuhan', '', 'persidangan', 'gugatan', 'class', 'action', 'AM', 'Dec']","['satu', 'korban', 'gagal', 'bayar', 'asuransi', 'wanaartha', 'life', 'tinggal', 'usai', 'libat', 'ricuh', '', 'sidang', 'gugat', 'class', 'action', 'am', 'dec']",satu korban gagal bayar asuransi wanaartha life tinggal usai libat ricuh  sidang gugat class action am dec
19,itechcourse,7.16e+17,"Peringatan Kesekian, Buron Asuransi Wanaartha Diminta ...",Otoritas Jasa Keuangan (OJK) terus mengawal proses likuidasi dua perusahaan asuransi gagal bayar PT Asuransi Adisarana Wanaartha (Wanaartha Life)Â ...,['Wanaartha Life'],https://twitter.com/cnbcindonesia/status/1760262016428601541,"KotaMetro,Lampung",Positif,1,"Alun-alun Kota Metro, Metro, Lampung, Indonesia",-5.11471345,105.3083226,"['Otoritas', 'Jasa', 'Keuangan', 'OJK', 'terus', 'mengawal', 'proses', 'likuidasi', 'dua', 'perusahaan', 'asuransi', 'gagal', 'bayar', 'PT', 'Asuransi', 'Adisarana', 'Wanaartha', 'Wanaartha', 'Life', 'Â']","['Otoritas', 'Jasa', 'Keuangan', 'OJK', 'terus', 'mengawal', 'proses', 'likuidasi', '', 'perusahaan', 'asuransi', 'gagal', 'bayar', 'PT', 'Asuransi', 'Adisarana', 'Wanaartha', 'Wanaartha', 'Life', 'Â']","['otoritas', 'jasa', 'uang', 'ojk', 'terus', 'awal', 'proses', 'likuidasi', '', 'usaha', 'asuransi', 'gagal', 'bayar', 'pt', 'asuransi', 'adisarana', 'wanaartha', 'wanaartha', 'life', '']",otoritas jasa uang ojk terus awal proses likuidasi  usaha asuransi gagal bayar pt asuransi adisarana wanaartha wanaartha life 
20,Muhammad_RM16,602755138.0,"TL Cuma Mau Bayar 4,45% Tagihan, Korban Wanaartha ...","Ratusan korban PT Asuransi Jiwa Adisarana Wanaartha (Wanaartha Life) berbondong-bondong mendatangi kantor OJK di Jakarta pada Selasa, (24/1/2024)Â ...",['Wanaartha Life'],https://twitter.com/cnbcindonesia/status/1750041390640513461,"Banten,Indonesia",Negatif,0,"Banten, Indonesia",-6.47800285,105.5410285,"['Ratusan', 'korban', 'PT', 'Asuransi', 'Jiwa', 'Adisarana', 'Wanaartha', 'Wanaartha', 'Life', 'mendatangi', 'kantor', 'OJK', 'di', 'Jakarta', 'pada', 'Selasa', 'Â']","['Ratusan', 'korban', 'PT', 'Asuransi', 'Jiwa', 'Adisarana', 'Wanaartha', 'Wanaartha', 'Life', 'mendatangi', 'kantor', 'OJK', '', 'Jakarta', '', 'Selasa', 'Â']","['ratus', 'korban', 'pt', 'asuransi', 'jiwa', 'adisarana', 'wanaartha', 'wanaartha', 'life', 'datang', 'kantor', 'ojk', '', 'jakarta', '', 'selasa', '']",ratus korban pt asuransi jiwa adisarana wanaartha wanaartha life datang kantor ojk  jakarta  selasa 
21,raya_1117,4761293701.0,DetikFinance,"Total kewajiban yang harus dibayar WanaArtha Life ke para pemegang polis adalah Rp15,7 triliun tapi aset perusahaan tak sampai Rp100 miliar.",['WanaArtha Life'],https://mobile.twitter.com/detikfinance/status/1609794845043728385,BTJ,Negatif,0,"Bandar Udara Internasional Sultan Iskandarmuda, Jalan T. Iskandar, Cadek, Kuta Baro, Aceh Besar, Aceh, 23371, Indonesia",5.52776805,95.41944349,"['Total', 'kewajiban', 'yang', 'harus', 'dibayar', 'WanaArtha', 'Life', 'ke', 'para', 'pemegang', 'polis', 'adalah', 'triliun', 'tapi', 'aset', 'perusahaan', 'tak', 'sampai', 'miliar']","['Total', 'kewajiban', '', '', 'dibayar', 'WanaArtha', 'Life', '', '', 'pemegang', 'polis', '', 'triliun', '', 'aset', 'perusahaan', 'tak', '', 'miliar']","['total', 'wajib', '', '', 'bayar', 'wanaartha', 'life', '', '', 'pegang', 'polis', '', 'triliun', '', 'aset', 'usaha', 'tak', '', 'miliar']",total wajib   bayar wanaartha life   pegang polis  triliun  aset usaha tak  miliar
22,milkywhy__,2904217686.0,Bisnis.com,Nasabah Wanaartha Life meminta proses likuidasi perusahaan yang tengah berlangsung dapat mengembalikan dana mereka dengan maksimal.,['Wanaartha Life'],https://twitter.com/Bisniscom/status/1668771245209587712,"DKI Jakarta,Indonesia",Netral,2,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183,"['Nasabah', 'Wanaartha', 'Life', 'meminta', 'proses', 'likuidasi', 'perusahaan', 'yang', 'tengah', 'berlangsung', 'dapat', 'mengembalikan', 'dana', 'mereka', 'dengan', 'maksimal']","['Nasabah', 'Wanaartha', 'Life', 'meminta', 'proses', 'likuidasi', 'perusahaan', '', 'tengah', 'berlangsung', '', 'mengembalikan', 'dana', '', '', 'maksimal']","['nasabah', 'wanaartha', 'life', 'minta', 'proses', 'likuidasi', 'usaha', '', 'tengah', 'langsung', '', 'kembali', 'dana', '', '', 'maksimal']",nasabah wanaartha life minta proses likuidasi usaha  tengah langsung  kembali dana   maksimal
23,sirodjudin01,7.51e+17,elyawatiku - Elle,#AsuransiWanaarthaLife #AsuransiGagalBayar #WhiteCollarCrimeInIndonesia #OtoritasJasaKeuangan Tim Likuidasi Bakal Lelang Aset Wanaartha Life di MampangÂ ...,['Wanaartha Life'],https://twitter.com/elyawatiku,"DKI Jakarta,Indonesia",Negatif,0,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183,"['AsuransiWanaarthaLife', 'AsuransiGagalBayar', 'WhiteCollarCrimeInIndonesia', 'OtoritasJasaKeuangan', 'Tim', 'Likuidasi', 'Bakal', 'Lelang', 'Aset', 'Wanaartha', 'Life', 'di', 'MampangÂ']","['AsuransiWanaarthaLife', 'AsuransiGagalBayar', 'WhiteCollarCrimeInIndonesia', 'OtoritasJasaKeuangan', 'Tim', 'Likuidasi', 'Bakal', 'Lelang', 'Aset', 'Wanaartha', 'Life', '', 'MampangÂ']","['asuransiwanaarthalife', 'asuransigagalbayar', 'whitecollarcrimeinindonesia', 'otoritasjasakeuangan', 'tim', 'likuidasi', 'bakal', 'lelang', 'aset', 'wanaartha', 'life', '', 'mampang']",asuransiwanaarthalife asuransigagalbayar whitecollarcrimeinindonesia otoritasjasakeuangan tim likuidasi bakal lelang aset wanaartha life  mampang
24,sofians,19049983.0,"With Maheshwari, Astuty , and Anita at Wanaartha Life Denpasar","With Maheshwari, Astuty , and Anita at Wanaartha Life Denpasar â€” https://t.co/9qrTSKn1BZ.",['Wanaartha Life'],https://mobile.twitter.com/P_tarri/status/868051302718226432,"Jakarta Pusat,DKI Jakarta",Netral,2,"Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia",-6.18233995,106.8428715,"['With', 'Maheshwari', 'Astuty', 'and', 'Anita', 'at', 'Wanaartha', 'Life', 'Denpasar', 'https']","['With', 'Maheshwari', 'Astuty', 'and', 'Anita', 'at', 'Wanaartha', 'Life', 'Denpasar', 'https']","['with', 'maheshwari', 'astuty', 'and', 'anita', 'at', 'wanaartha', 'life', 'denpasar', 'https']",with maheshwari astuty and anita at wanaartha life denpasar https
