position,username,user_id,title,text,highlighs,link,location,sentimen,label,address,latitude,longitude
22,milkywhy__,2904217686.0,Bisnis.com,Nasabah Wanaartha Life meminta proses likuidasi perusahaan yang tengah berlangsung dapat mengembalikan dana mereka dengan maksimal.,['Wanaartha Life'],https://twitter.com/Bisniscom/status/1668771245209587712,"DKI Jakarta,Indonesia",Netral,2,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183
23,sirodjudin01,7.51e+17,elyawatiku - Elle,#AsuransiWanaarthaLife #AsuransiGagalBayar #WhiteCollarCrimeInIndonesia #OtoritasJasaKeuangan Tim Likuidasi Bakal Lelang Aset Wanaartha Life di MampangÂ ...,['Wanaartha Life'],https://twitter.com/elyawatiku,"DKI Jakarta,Indonesia",Negatif,0,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183
24,sofians,19049983.0,"With Maheshwari, Astuty , and Anita at Wanaartha Life Denpasar","With Maheshwari, Astuty , and Anita at Wanaartha Life Denpasar â€” https://t.co/9qrTSKn1BZ.",['Wanaartha Life'],https://mobile.twitter.com/P_tarri/status/868051302718226432,"Jakarta Pusat,DKI Jakarta",Netral,2,"Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia",-6.18233995,106.8428715
25,DamaiNegeriku1,1.14e+18,Alex Stefanus (@alexstefanus) / X,"Tempat pelarian pemilik Wanaartha Life Evelina Pietruschka, Manfred Pietruschka & Reza Pietruschka di AS sdh diketahui, sdh msk DPO Interpol jg tp kokÂ ...",['Wanaartha Life'],https://twitter.com/alexstefanus,"Jakarta Pusat,DKI Jakarta",Negatif,0,"Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia",-6.18233995,106.8428715
26,Djams94471116,1.05e+18,theiconomic,Nasabah atau pemegang polis terus menuntut PT Asuransi Jiwa Adisarana Wanaartha (Wanaartha Life) untuk membayarkan hak-hak mereka yang sudahÂ ...,['Wanaartha Life'],https://mobile.twitter.com/theiconomic/status/1528663597408063493,"GrahaPena,KebayoranLama12",Negatif,0,"Graha Pena, Jalan Tanah Baru V, RW 04, Sukabumi Utara, Kebon Jeruk, Jakarta Barat, Daerah Khusus Ibukota Jakarta, 12210, Indonesia",-6.2150741,106.7777897
27,rockycoway,791212273.0,detikcom,"Tim Likuidasi WanaArtha Life menggelar pertemuan bersama dengan direksi nonaktif dari perusahaan asuransi itu. Lalu, bagaimana hasilnya?",['WanaArtha Life'],https://mobile.twitter.com/detikcom/status/1651397338806591489,Borneo,Netral,2,"Borneo, Malinau, Kalimantan Utara, Indonesia",1.42965855,114.7405992
28,BongBon93931084,1.08e+18,kontan news,WanaArtha Life resmi masuki bisnis DPLK https://t.co/GQ5ry5KN7o #DanaPensiun.,['WanaArtha Life'],https://twitter.com/KontanNews/status/1202535602379358209,"DKI Jakarta,Indonesia",Netral,2,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183
29,GarangPutih,1.14e+18,"Duh! Likuidasi Wanaartha Mandek, OJK Kasih Saran Gini","Otoritas Jasa Keuangan membenarkan adanya kendala akses data nasabah PT Asuransi Jiwa Adisarana Wanaartha (Wanaartha Life) yang menghambat proses likuidasi Â· 6:27 AM Â· Apr 17, 2023. Â·. 509. Views.",['Wanaartha Life'],https://twitter.com/cnbcindonesia/status/1647849141467480066,"Kalimantan Timur,Indonesia",Negatif,0,"Kalimantan Timur, Indonesia",0.7884397,116.2419977
30,luhan_uffo,558262930.0,detikcom,Nasabah WanaArtha Life mengeluhkan proses likuidasi yang mandek dan belum kembalinya uang. Bagaimana ceritanya? https://t.co/r5LCImmsBU.,['WanaArtha Life'],https://mobile.twitter.com/detikcom/status/1651379632560836610,"Jakarta Pusat,DKI Jakarta",Negatif,0,"Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia",-6.18233995,106.8428715
31,Nasution_eD,1.14e+18,DetikFinance,Nasabah asuransi jiwa WanaArtha Life melakukan aksi damai di depan Pengadilan Negeri Jakarta Pusat. Apa tuntutannya?,['WanaArtha Life'],https://mobile.twitter.com/detikfinance/status/1291608284298911744,"Banten,Indonesia",Netral,2,"Banten, Indonesia",-6.47800285,105.5410285
32,Gunarto55122771,1.1e+18,Voidotid,Manajemen PT Asuransi Jiwa Adisarana Wanaartha (WanaArtha Life) memastikan akan mengutamakan kepentingan nasabah atau pemegang polis.,['WanaArtha Life'],https://twitter.com/voidotid/status/1517652983491665920,"Makassar,Indonesia",Positif,1,"Makassar ????, Galesong Selatan, Sulawesi Selatan, 90115, Indonesia",-5.1342962,119.4124282
33,win_goes,1.15e+18,"Evelina Pietruschka Buron, Kok Bisa Zoom Korban ...","Evelina Larasati Fadil Pietruschka, salah satu pemegang saham pemilik (PSP) Wanaartha Life kabarnya pernah menghadiri audiensi virtual Â· 1:18 AM Â· Feb 8, 2023. Â·. 7,175. Views. 4. Reposts Â· 1. Quote.",['Wanaartha Life'],https://twitter.com/cnbcindonesia/status/1623129004629954563,"Jakarta Barat, DKI Jakarta",Negatif,0,"Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia",-6.16156235,106.7438912
34,aquanakmama,1.1e+18,Buron Kasus Wanaartha Diduga Sembunyi di Beverly Hills ...,"Buronan kasus WanaArtha Life, Evelina Fadil Pietruschka terindikasi bersembunyi di Beverly Hills, Amerika Serikat. 9:07 AM Â· Oct 13, 2023.",['WanaArtha Life'],https://twitter.com/cnbcindonesia/status/1712756922557042784,"Jakarta Pusat,DKI Jakarta",Negatif,0,"Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia",-6.18233995,106.8428715
35,DamaiNegeriku1,1.14e+18,Chanra (@Chanra25111696) / X,Otoritas Jasa Keuangan (OJK) terus mengawal proses likuidasi dua perusahaan asuransi gagal bayar PT Asuransi Adisarana Wanaartha (Wanaartha Life). 2. 2.,['Wanaartha Life'],https://twitter.com/Chanra25111696,"Jakarta Pusat,DKI Jakarta",Positif,1,"Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia",-6.18233995,106.8428715
36,Djams94471116,1.05e+18,kompas tv,Namun sejumlah korban PT WAL mempertanyakan nasibnya setelah izin usaha Wanaartha Life dicabut oleh OJK. Puluhan ribu korban yang jugaÂ ...,['Wanaartha Life'],https://twitter.com/KompasTV/status/1602584176582340608,"DKI Jakarta,Indonesia",Negatif,0,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183
37,BongBon93931084,1.08e+18,era2805 - Laksmi Merati,"... com/GQ1cjo Â· Laksmi Merati Â· @era2805. Â·. Sep 7, 2011. I'm at Graha WanaArtha Life (Mampang, Jl. Mampang Raya No. 76, Jakarta) http://4sq.com/oa0kC6.",['WanaArtha Life'],https://twitter.com/era2805,"DKI Jakarta,Indonesia",Netral,2,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183
38,Nasution_eD,1.14e+18,YeniChubi - å“ä¿å¦,"... , Nasabah Menjerit & Putus Asa. Nasabah PT Asuransi Jiwa Adisarana Wanaartha (Wanaartha Life/WAL) menjerit karena proses likuidasi terhambat, kok bisa?",['Wanaartha Life'],https://twitter.com/yenichubi,"Makassar,Indonesia",Negatif,0,"Makassar ????, Galesong Selatan, Sulawesi Selatan, 90115, Indonesia",-5.1342962,119.4124282
39,win_goes,1.15e+18,Voidotid,Para pemegang polis atau nasabah PT Asuransi Jiwa Adisarana WanaArtha atau WanaArtha Life dan kalangan Dewan berharap agar persoalanÂ ...,['WanaArtha Life'],https://twitter.com/voidotid/status/1509033338941878274,"DKI Jakarta,Indonesia",Netral,2,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183
40,aquanakmama,1.1e+18,Duh! Duit Karyawan INCO yang Nyangkut di Wanaartha ...,"Duh! Duit Karyawan INCO yang Nyangkut di Wanaartha Rp 220 M. Korban Wanaartha Life kembali bertambah. 5:58 AM Â· Sep 7, 2022 Â· 1. Repost Â· 3. Quotes.",['Wanaartha Life'],https://twitter.com/cnbcindonesia/status/1567391872607490048,"Bandung,JawaBarat",Negatif,0,"Bandung, Jawa Barat, 40252, Indonesia",-6.9344694,107.6049539
41,KontanNews,43799886.0,Rudy Limin (@rudylimin) / X,"Jeritan Korban Asuransi WanaArtha Life, Dimana Negara dan Kejaksaan? https://t.co/3xrdnaIML6.",['WanaArtha Life'],https://twitter.com/rudylimin,"DKI Jakarta,Indonesia",Negatif,0,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183
42,KontanNews,43799886.0,Wil Lauri (@lauri_wil) / X,"Buntut Polemik Asuransi WanaArtha Life, Muncul Wacana Pembubaran OJK - Suara Karya. Wacana pembubaran OJK muncul karena dalam kasus Asuransi terutamaÂ ...",['WanaArtha Life'],https://twitter.com/lauri_wil,"Palembang,Sumsel,Indonesia",Negatif,0,"Palembang, Sumatera Selatan",-2.9888297,104.756857
43,Listyanto9,7.39e+17,Robbie Chandra (@robbietjan) / X,"Jul 13, 2020 Â· https://keuangan.kontan.co.id/news/kejagung-masih-blokir-rekening-efek-agen-wanaartha-life-datangi-dprâ€¦ ",,,"DKI Jakarta,Indonesia",Negatif,0,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183
44,arahdotcom,4848874949.0,Alex Stefanus,Kl dgn pembuktian Juniver Girsang (lawyer Wanaartha Life) di sidang keberatan lalu & @KejaksaanRI masih ajukan kasasi.. itu namanyaÂ ...,['Wanaartha Life'],https://twitter.com/alexstefanus/status/1448642035578126342,"DKI Jakarta,Indonesia",Netral,2,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183
45,RakyatMerdeka99,7.12e+17,irvan rahardjo (@irvanrahardjo) / X,SERI BUKU ASURANSI : Robohnya Asuransi Kami - Bumiputera ( 2020),,,"DKI Jakarta,Indonesia",Netral,2,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183
46,GULINGKUSUT,173907219.0,Palmer Situmorang Ph.D,alexstefanus @rano_alfath Capek yah. Wanaartha Life sendiri yg rekening efek dan reksa dananya disita sdh datang meyampaikan keberatan pihakÂ ...,['Wanaartha Life'],https://mobile.twitter.com/palmersitumoran/status/1309349409721778176,"Kalimantan Tengah, Indonesia",Negatif,0,"Kalimantan Tengah, Indonesia",-1.499583,113.2903307
47,KontanNews,43799886.0,rudyhandsome888 - rudy888,"Rekening Efek WanaArtha Life Masih Diblokir, Bagaimana Nasib Dana Nasabah? ... Rekening Wanaartha Life Masih Diblokir, Presdir Kembali Surati Nasabah httpÂ ...","['WanaArtha Life', 'Wanaartha Life']",https://twitter.com/rudyhandsome888,"Malang,JawaTimur",Negatif,0,"Malang, Jawa Timur, Indonesia",-8.10479815,112.6879872
48,KontanNews,43799886.0,Alex Stefanus,lbh dr 1 thn dr status tsk tdk bs temukan owner Wanaartha Life (WAL) yg kabur ke AS? Knp nsbh WAL malah berhsl temukan lokasi EvelineÂ ...,['Wanaartha Life'],https://twitter.com/alexstefanus/status/1712345971575951806,MNCNewsCenterLt.11Jakarta,Negatif,0,"iNews Tower, Jalan Kebon Sirih Jakarta",-6.1849205,106.8308589
49,Listyanto9,7.39e+17,WanaArtha Life Official,"Terus bekerja, berinovasi untuk masyarakat Indonesia dengan tetap memegang nilai-nilai pokok WanaArtha Life, yaitu SATU",,,"Bogor,JawaBarat",Netral,2,"Bogor, Jawa Barat, 16121, Indonesia",-6.5962986,106.7972421
50,TheendTo,1.2e+18,Alex Stefanus,28/5/2021: Sidang keberatan Wanaartha Life dgn Lawyer Juniver Girsang utk pembuktian & keterangan saksi fakta oleh Daniel Halim sbg DirKeuÂ ...,['Wanaartha Life'],https://twitter.com/alexstefanus/status/1398459928818294784,"DKI Jakarta,Indonesia",Netral,2,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183
51,arahdotcom,4848874949.0,Alex Stefanus,Pak @cakimiNOW @Jazilul_Fawaid @rano_alfath mohon perhatian dan bantuan bpk2 di PKB atas nasib 26.000 pemegang polis Wanaartha Life yg sdh 6Â ...,['Wanaartha Life'],https://twitter.com/alexstefanus/status/1284461432961032193,"BalikpapanTengah,Indonesia",Negatif,0,"BalikpapanTengah,Indonesia",-1.2452915,116.8505397
52,GULINGKUSUT,173907219.0,Alex Stefanus,Pak Jampidsus @KejaksaanRI kau anggap apa 26.000 pemegang polis wanaartha life ini? Setan blau? @jokowi @rano_alfath @hincapandjaitanÂ ...,['wanaartha life'],https://twitter.com/alexstefanus/status/1301520427496271874,"DKI Jakarta,Indonesia",Negatif,0,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183
53,KompasData,771030588.0,Robert ST (@RobertS24601054) / X,"Tak Hanya Blokir dan Sita Aset, Polisi Juga Jemput Paksa Tersangka Wanaartha Life di Luar Negeri -... From m.tribunnews.com.",['Wanaartha Life'],https://twitter.com/RobertS24601054,"DKI Jakarta,Indonesia",Positif,1,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183
54,octania_,3230363209.0,Indonesia Raya (@Indones20366386) / X,@DPR_RI Â· @mprgoid Â· @mohmahfudmd Â· @mabespolrinews Â· Korban Wanaartha Life Ceritakan Awal Mula Masalah hingga Laporan ke Bareskrim Polri Â· From keuangan.kontanÂ ...,['Wanaartha Life'],https://twitter.com/Indones20366386,"Bekasi,JawaBarat",Netral,2,"Bekasi, Jawa Barat, 17144, Indonesia",-6.2349858,106.9945444
55,djasMpu,3192723644.0,Rudy Limin,"Jeritan Korban Asuransi WanaArtha Life, Dimana Negara dan Kejaksaan? https://t.co/3xrdnaIML6.",['WanaArtha Life'],https://twitter.com/rudylimin/status/1260890831080157184,"DKI Jakarta,Indonesia",Negatif,0,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183
56,MarketmoverID,1.16e+18,polaroidblur77 - Polaris,Menakar Peluang Keberhasilan Gugatan PKPU oleh Nasabah Wanaartha Life http://kmp.im/AGEWDZ ... WanaArtha Life Jadwalkan Pelaksanaan RUPSLB 4 Januari 2023 https://Â ...,"['Wanaartha Life', 'WanaArtha Life']",https://twitter.com/polaroidblur77,"DKI Jakarta,Indonesia",Netral,2,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183
57,KompasData,771030588.0,OJK Harus Segera Buka Blokir Rekening Efek WanaArtha ...,OJK Harus Segera Buka Blokir Rekening Efek WanaArtha Life - Tandatangani Petisi! https://t.co/jfPZ2TcICu via @ChangeOrg_ID.,['WanaArtha Life'],https://twitter.com/wiwison79/status/1235441181871374337,"DKI Jakarta,Indonesia",Negatif,0,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183
58,octania_,3230363209.0,Alex Stefanus,"sdh 2thn nasib pemegang polis wanaartha life/WAL gak jelas. Beli polis krn ada embel2 terdaftar & diawasi OJK tp pas WAL kena kasus,Â ...",['wanaartha life'],https://twitter.com/alexstefanus/status/1480071268518936580,"Balikpapan, Indonesia",Negatif,0,"Balikpapan, Kalimantan Timur, 76128, Indonesia",-1.2398711,116.8593379
59,Megatop99,278039207.0,Alex Stefanus,"Pak @jokowi, Pak @mohmahfudmd kl Restorative Justice thd nsbh Wanaartha Life kpn dilakukan? Ini akibat anak bh bpk di @KejaksaanRI yg sitaÂ ...",['Wanaartha Life'],https://twitter.com/alexstefanus/status/1430552570892750853,"DKI Jakarta,Indonesia",Negatif,0,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183
60,djknkaltimtara,1.09e+18,Extordnry - Metaphor00,"Â·. Dec 5, 2022. Our government only take off the license of wanaartha life..so what abt the law which gov provide ?no one help you when you feel suffer. 5.",['wanaartha life'],https://twitter.com/Extordnry,"DKI Jakarta,Indonesia",Negatif,0,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183
61,djasMpu,3192723644.0,Ryan setiawan (@xueyunxue1986) / X,Ryan setiawan's posts ... Suasana Duka Pada saat Meninggalnya Nasabah WanaArtha Life Deddy... ... Sosok Misterius Yang Bisikin Erick Thohir Soal Kerja Sat SethttpsÂ ...,['WanaArtha Life'],https://twitter.com/xueyunxue1986,"DKI Jakarta,Indonesia",Negatif,0,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183
62,murezfah,1.09e+18,taPikir - Easy Going,"Jun 10, 2023 Â· #sh*t $wskt lagi... bakalan auto 50 saat unlock. Terungkap, Auditor Waskita Karya Terlibat Skandal Wanaartha Life - Market Â· FromÂ ...",['Wanaartha Life'],https://twitter.com/taPikir,cianjurjawabarat,Negatif,0,"Cianjur, Jawa Barat",-6.824096,107.1374006
63,KBernegara,1.13e+18,Rudy Limin,OJK Harus Segera Buka Blokir Rekening Efek WanaArtha Life - Tandatangani Petisi! https://t.co/JFIUe96tmz via @Change.,['WanaArtha Life'],https://twitter.com/rudylimin/status/1235614471994802179,Jepara,Negatif,0,"Jepara, Jawa Tengah",-6.5906502,110.6673202
64,demafebuin2019,4801790833.0,Alex Stefanus,Kl bpk2 @KejaksaanRI melakukan kasasi melawan pemegang polis Wanaartha Life yg tdk bersalah artinya Jaksa Agung & jajarannya membangkangÂ ...,['Wanaartha Life'],https://twitter.com/alexstefanus/status/1447570125008236548,"Bandung,JawaBarat",Negatif,0,"Bandung, Jawa Barat, 40252, Indonesia",-6.9344694,107.6049539
65,demafebuin2019,4801790833.0,wasiatkita,"1. wasiatkita Â· @wasiatkita. Â·. Aug 31, 2017. Wasiatkita menjadi narasumber dalam gathering yang diadakan oleh Wanaartha life dengan topik. ""7kesalahan umum"".",['Wanaartha life'],https://twitter.com/wasiatkita,iNews Tower Lantai10,Negatif,0,"iNews Tower, Jalan Kebon Sirih Jakarta",-6.1849205,106.8308589
66,cagubnyinyir2,1.01e+18,Easy Going,"#sh*t $wskt lagi... bakalan auto 50 saat unlock. Terungkap, Auditor Waskita Karya Terlibat Skandal Wanaartha Life - Market.",['Wanaartha Life'],https://twitter.com/taPikir/status/1667503751614312450,"KotaYogyakarta,Yogyakarta",Negatif,0,"Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia",-7.8011945,110.364917
67,KompasData,771030588.0,Subur Jaya Abadi Permai (@PermaiSubur) ...,"Bola Salju Kasus Gagal Bayar Wanaartha Life, Bakal Berakhir Bangkrut dan Pailit? ... Teman2 seperjuangan para pemegang polis Wanaartha Life & teman2 ygÂ ...","['Wanaartha Life', 'Wanaartha Life']",https://twitter.com/PermaiSubur,"DKI Jakarta,Indonesia",Negatif,0,"Daerah Khusus Ibukota Jakarta, Indonesia",-6.1753942,106.827183
