position;username;user_id;title;text;highlighs;link;location;address;latitude;longitude
151;brendasus88;7.98e+17;HukumOnline;Dirut Kresna Life Jadi Tersangka, Nasabah Khawatir Dana Sulit Kembali. Nasabah mempertanyakan apa yang akan dilakukan OJK sebagai bentuk ...;['Kresna Life'];https://twitter.com/HukumOnline/status/1572518499762589696;Gd.IklanKaltimPostMarkoni;Kalimantan Timur, Indonesia;0.7884397;1.162.419.977
152;HADI_GAM76;53261440.0;Kompas.com;Langkah Banding OJK Hadapi Putusan Pembatalan Pencabutan Izin Usaha Kresna Life. From money.kompas.com · 1:41 AM · Mar 5, 2024. ·. 861. Views. 1.;['Kresna Life'];https://twitter.com/kompascom/status/1764828462572052542;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
153;fathoonn;1.16e+18;kakangnu - mangnu;Michael Steven Menang Lawan OJK di PTUN, CIU Kresna Life Batal https ... Michael Steven Menang Lawan OJK di PTUN, CIU Kresna Life Batal. From investor.id. 1.;['Kresna Life', 'Kresna Life'];https://twitter.com/kakangnu;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
154;KompasData;771030588.0;usutpembunuhan1;... Jiwasraya, Asabri, Wanaartha, Bakrie Life, Indo Life, Kresna Life, Bumi Asihjaya jadi tidak berdaya untuk membayar klaim atau GAGAL BAYAR!!! #BubarkanPDIP.;['Kresna Life'];https://twitter.com/USUTPEMBUNUHAN1;BekasiIndonesia;Bekasi, Jawa Barat, 17144, Indonesia;-62.349.858;1.069.945.444
155;senyumwoi;2705835224.0;WWO121 (@WWO12110) / X;Mulai dari AJB Bumiputera, Jiwasraya, Asabri, hingga Kresna Life itu tidak lepas dari pengawasan OJK yang sangat lemah. Terlebih lagi adanya regulatory and ...;['Kresna Life'];https://twitter.com/WWO12110;Jl.RTAMilonoKm2,5Palangka;Palangka Raya, Kalimantan Tengah, 73112, Indonesia;-22.072.919;1.139.164.372
156;Ar_rum;62500965.0;mawar7rasa - Say Myname;Say Myname · @mawar7rasa. ·. Sep 29, 2022. haduh. Kasasi Kabul, LQ Indonesia: Ribuan Nasabah Asuransi Kresna Life Hanya akan Dapat Tulang Belulang · From ...;['Kresna Life'];https://twitter.com/mawar7rasa;Bekasi;Bekasi, Jawa Barat, 17144, Indonesia;-62.349.858;1.069.945.444
157;aindraku;166261604.0;irvan rahardjo;WEBINAR & Peluncuran Buku ROBOHNYA ASURANSI KAMI Pemailitan Kresna Life Penulis Irvan Rahardjo Kata Pengantar Prof.;['Kresna Life'];https://twitter.com/irvanrahardjo/status/1430724151107411969;Palangkaraya;Palangka Raya, Kalimantan Tengah, 73112, Indonesia;-22.072.919;1.139.164.372
158;NephiLaxmus;62764588.0;Subur Jaya Abadi Permai (@PermaiSubur) ...;Subur Jaya Abadi Permai reposted · Indonesia Raya · @Indones20366386. ·. Nov 4, 2022 · OJK Beri Sanksi buat WanaArtha dan Kresna Life! From finance.detik.com. 1.;['Kresna Life'];https://twitter.com/PermaiSubur;Depok??Bandung;Depok, Jawa Barat, 16439, Indonesia;-64.074.657;1.068.138.131
159;refanardhy;1.1e+18;Kresna Life Insurance;Kresna Life Insurance · @KresnaLifeID. Selamat mengawali langkah untuk membawa Indonesia lebih maju Bpk. @jokowi. dan Bpk. @kyai_marufamin.;['Kresna Life'];https://twitter.com/KresnaLifeID/status/1186221719482032128;Jl.RayaKebayoranLamaNo.72;Kebayoran Lama;-6.243.886;1.067.798.594
160;KontanNews;43799886.0;Indolife Bumi Asih Jaya Taspen Jiwasraya OJK;·. Feb 24, 2021. Gagal bayar ksp Lima Garuda. Image. 1. Indolife Bumi Asih Jaya Taspen Jiwasraya OJK · @pasarbursa. ·. Feb 24, 2021. Kresna life gagal bayar.;['Kresna life'];https://twitter.com/pasarbursa;Jakarta Barat, DKI Jakarta;Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia;-616.156.235;1.067.438.912
161;sadewobagas;818564467.0;Say Myname;Kasasi Kabul, LQ Indonesia: Ribuan Nasabah Asuransi Kresna Life Hanya akan Dapat Tulang Belulang. From netralnews.com.;['Kresna Life'];https://twitter.com/mawar7rasa/status/1575349277471440896;Jakarta Barat, DKI Jakarta;Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia;-616.156.235;1.067.438.912
162;KompasData;771030588.0;Suara Otoritas (@suaraojk) / X;@suaraojk. ·. Nov 11, 2020. Setelah gagal di Jiwasraya, Minna Padi, Kresna Life, jangan berlanjut pada pemulihan ekonomi nasional! #ReformasiOJK. Image.;['Kresna Life'];https://twitter.com/suaraojk;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
163;zealandiasarah;230445594.0;Lucky Santoso (@luqsantoso) / X;3. 60. 692. Lucky Santoso · @luqsantoso. ·. Apr 1, 2022 · Nasabah Resah Pembayaran Tersendat, OJK Minta Kresna Life Segera Tambah Modal · From finansial.bisnis.;['Kresna Life'];https://twitter.com/luqsantoso;Sunter;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
164;Ikhlas_fathur;1030709318.0;OJK Perintahkan Asuransi Bumiputera 1912 Penuhi Aturan ...;OJK Perintahkan Asuransi Bumiputera 1912 Penuhi Aturan Modal Rp250 Miliar pada 2026 https://t.co/SWtU3KARAY.;['Asuransi Bumiputera'];https://twitter.com/Bisniscom/status/1790169549037564227;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
165;Ikhlas_fathur;1030709318.0;OJK Perintahkan Asuransi Bumiputera 1912 Penuhi Aturan ...;OJK Perintahkan Asuransi Bumiputera 1912 Penuhi Aturan Modal Rp250 Miliar Saat Ekuitas Minus Rp4 Triliun https://t.co/qKbVs1uEta.;['Asuransi Bumiputera'];https://twitter.com/Bisniscom/status/1790176089656168952;Aceh.Indonesia????;Aceh, Indonesia;43.685.491;970.253.024
166;warnahidup7;1.19e+18;Sistem Klaim Asuransi Bumiputera 1912 Mati 6 Bulan? ...;Sistem Klaim Asuransi Bumiputera 1912 Mati 6 Bulan? Manajemen Buka Suara https://t.co/XhKfJJvQsz.;['Asuransi Bumiputera'];https://twitter.com/Bisniscom/status/1740290271903129903;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
167;indozonemedia;350668803.0;"""Dari lama kami ingin bahas Asuransi Bumiputera tapi ...";Dari lama kami ingin bahas Asuransi Bumiputera tapi bingung siapa yg harus disalahkan? BUMN bukan Perseroan swasta pun bukan.;['Asuransi Bumiputera'];https://twitter.com/PartaiSocmed/status/1670633732842348545;Depok,Indonesia;Depok, Jawa Barat, 16439, Indonesia;-64.074.657;1.068.138.131
168;mostradio1058fm;85805755.0;convomfs;di sini ada yg korban asuransi bumiputera ngga ya? Kira-kira prosedur buat pengembalian polis gmn ya alurnya, soalnya uang buat kuliah ...;['asuransi bumiputera'];https://twitter.com/convomfs/status/1755492434325508306;Pamekasan,Indonesia;Pamekasan, Jawa Timur, Indonesia;-707.081.335;1.135.003.939
169;KompasData;771030588.0;Kabinet KM ITB;[Asuransi Bumiputera Muda] Asuransi setiap mahasiswa ITB! Info lengkap-> datangi loket beasiswa LK,Basement CC Barat.;['Asuransi Bumiputera'];https://twitter.com/KM_ITB/status/730400121624494082;Palmerah,Jakarta;Palmerah, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia;-61.910.017;1.067.943.633
170;Kariozz1;9.94e+17;Tak Satu Pun Aset Properti AJB Bumiputera Terjual, Uang ...;OJK menyatakan belum terdapat properti milik asuransi Bumiputera yang terjual, padahal diharapkan bisa menjadi sumber dana untuk pembayaran ...;['asuransi Bumiputera'];https://twitter.com/Bisniscom/status/1732000139391475803;JakartaPusat,DKIJakarta;Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia;-618.233.995;1.068.428.715
171;Ikhlas_fathur;1030709318.0;Bos Uya Kuya (@Bos_UyaKuya) / ...;Dari lama kami ingin bahas Asuransi Bumiputera tapi bingung siapa yg harus disalahkan? BUMN bukan Perseroan swasta pun bukan. Ada yg bisa bantu menjelaskan ...;['Asuransi Bumiputera'];https://twitter.com/Bos_UyaKuya;Indonesia,UK;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
172;RakyatMerdeka99;7.12e+17;Strategi + Bisnis;Feb 17, 2023 — Ratapan Duka Korban Asuransi Bumiputera dan KSP Indosurya | Blog Strategi + Manajemen https://t.co/PIBOqc37ab.;['Asuransi Bumiputera'];https://twitter.com/Strategi_Bisnis/status/1626569362336534534;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
173;RakyatMerdeka99;7.12e+17;kontan news;Nov 12, 2019 — Kawal pembayaran premi yang telat, SP Asuransi Bumiputera minta maaf https://t.co/hBdxgJWcgm #Asuransi.;['Asuransi Bumiputera'];https://mobile.twitter.com/KontanNews/status/1194306374592679936;Bandung,JawaBarat;Bandung, Jawa Barat, 40252, Indonesia;-69.344.694;1.076.049.539
174;bemFMIPAUI;236059964.0;Isyrt (@record_isyrt) / X;Mohon kami (nasabah korban Asuransi Bumiputera) dibantu Bapak Presiden. @jokowi . Anak-anak kami yg mau daftar sekolah, kuliah, butuh biaya. Terimakasih ...;['Asuransi Bumiputera'];https://twitter.com/record_isyrt;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
175;qnafess;1.14e+18;dia (@sIythwerin) / X;38 · dia · @sIythwerin. ·. Mar 5. bau enak apa ini malem-malem, kaya bau martabak. 42 · dia · @sIythwerin. ·. Mar 5. sp korban asuransi bumiputera? ☝  . Quote.;['asuransi bumiputera'];https://twitter.com/siythwerin;KotaTasikmalaya,JawaBarat;Tasikmalaya, Jawa Barat, 46151, Indonesia;-73.262.484;1.082.201.154
176;qnafess;1.14e+18;Andreas Peter CK (@peter_andreasCK) / ...;... | Blog Strategi + Manajemen. Ratapan Duka Korban Asuransi Bumiputera dan KSP Indosurya - Blog Strategi + Manajemen. From strategimanajemen.net. 4. 17. 27.;['Asuransi Bumiputera'];https://twitter.com/peter_andreasCK;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
177;putra_villadank;1.03e+18;mikir duit;Nov 1, 2023 — Buat kamu yang jadi korban asuransi Bumiputera, Jiwasraya, Wanartha life, dan Kresna life. Cek updatenya di sini.;['asuransi Bumiputera'];https://twitter.com/Mikirduitcom/status/1719621493653647737;MJLK????;Kantor Bupati Mjlk, Majalengka, Jawa Barat, Indonesia;-683.633.985;1.082.276.444
178;izzulislam77;9.09e+17;Sebut Saja MA (@Muhamma48641303) ...;Asuransi Bumiputera Kacau, Pemegang Polis Gigit Jari https://youtu.be/knES61iho5Q lewat. @YouTube · youtube.com. Asuransi Bumiputera Kacau, Pemegang Polis Gigit ...;['Asuransi Bumiputera', 'Asuransi Bumiputera'];https://twitter.com/Muhamma48641303;Tlogomas;Tlogomas, Malang;-79.293.941;1.126.036.958
179;bintangku206;7.48e+17;tempo.co;Para nasabah yang berdemo mengaku sangat membutuhkan pencairan klaim dana asuransi Bumiputera, terlebih di saat sulit seperti saat ini. 12 ...;['asuransi Bumiputera'];https://mobile.twitter.com/tempodotco/status/1364549273279369216;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
180;machbeach;377100794.0;suhriyah - sawaludin RL;Asuransi Bumiputera abaikan biaya pendidikan anak kami. Sampai sekarang Bumiputera belum membayar klaim kami yang seharusnya Jan 2020 dibayar.@menteri_keuangan.;['Asuransi Bumiputera'];https://twitter.com/suhriyah;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
181;akubisalah;450371998.0;Emiyati (@9547bbf363e642e) / X;·. Mar 21, 2015. My love... Image. 1. Emiyati · @9547bbf363e642e. ·. Mar 19, 2015. Selamat & Sukses..Asuransi Bumiputera mendapatkan Customer Royalty Award 2015.;['Asuransi Bumiputera'];https://twitter.com/9547bbf363e642e;JakartaPusat,DKIJakarta;Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia;-618.233.995;1.068.428.715
182;moulevey;62846369.0;Giq (@ekogiq) / X;Legislator PDIP Lampung, Nurhasanah Ditetapkan Sebagai Tersangka Pengelolaan Asuransi Bumiputera ... asuransi-bumiputera/… 108. 411. 1K.;['Asuransi Bumiputera', 'asuransi-bumiputera'];https://twitter.com/ekogiq;Bali,Indonesia;Bali, Indonesia;-83.304.977;1.150.906.401
183;tero2_boshu;38138724.0;Akikah Jakarta;Jun 25, 2010 — Mella (@ Asuransi bumiputera tj.priok) http://4sq.com/9O7XUa.;['Asuransi bumiputera'];https://mobile.twitter.com/akikahjakarta/status/16982649858;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
184;RjmMakmur;2780292024.0;Bungaran Sitanggang (@bungaran_bsa) / X;Adakah rasa kemanusiaan Menteri BUMN dan OJK? Sadarkan Asuransi Bumiputera 1912 telah merugikan banyak masyarakat ? Pertanggungan asuransi banyak yang sudah ...;['Asuransi Bumiputera'];https://twitter.com/bungaran_bsa;JATIASIHKotaBekasiWestJAVA;Jatiasih, Jawa Barat, 17423, Indonesia;-62.936.589;1.069.636.695
185;tribunkaltim;103551225.0;Media Konsumen;Feb 2, 2019 — Pembayaran Tebusan Polis #Asuransi Bumiputera 1912 - https://t.co/1nQzAptV2c #AJBBumiputera1912 #KeuanganDanPerbankan ...;['Asuransi Bumiputera'];https://mobile.twitter.com/MediaKonsumenID/status/1091776212647792641;ckp-yk;Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia;-78.011.945;110.364.917
186;minray_;7.86e+17;Media Konsumen;Klaim Selesai Kontrak #Asuransi Bumiputera Lambat dan Tidak Jelas - https://t.co/Zj6i0jItlG #AJBBumiputera1912 #PencairanDanaAsuransi | cc: ...;['Asuransi Bumiputera'];https://twitter.com/MediaKonsumenID/status/958004188545540097;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
187;atkhls;2226044208.0;Dedi Sumantri (@Adol20989896) / X;#ajbBumiputera1912 Istri saya ikut asuransi Bumiputera dan habis kontrak dan dapat nomor antrian 14847, yg sudah cair 36, tunggu samapi berapa puluh tahun ...;['asuransi Bumiputera'];https://twitter.com/Adol20989896;Balikpapan,KalimantanTimur;Balikpapan, Kalimantan Timur, 76128, Indonesia;-12.398.711;1.168.593.379
188;Muhamma89481659;1.17e+18;Maudy Asmara;Legislator PDIP Lampung, Nurhasanah Ditetapkan Sebagai Tersangka Pengelolaan Asuransi Bumiputera https://t.co/9UlWDwINhX.;['Asuransi Bumiputera'];https://twitter.com/Mdy_Asmara1701/status/1373248246714228737;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
189;putra_villadank;1.03e+18;Sebut Saja MA;Asuransi Bumiputera Kacau, Pemegang Polis Gigit Jari https://t.co/MnnXbOUEP0 lewat @YouTube.;['Asuransi Bumiputera'];https://twitter.com/Muhamma48641303/status/1196193328762478592;Bekasi;Bekasi, Jawa Barat, 17144, Indonesia;-62.349.858;1.069.945.444
190;machbeach;377100794.0;doni kristanto (@donikristanto) / X;Dana dari Asuransi Bumiputera tidak cair lebih dari 1 tahun...bagaimana caranya memperjuangkan Hak kami...mohon pencerahannya pak. @ganjarpranowo.;['Asuransi Bumiputera'];https://twitter.com/donikristanto;pekanbaru;Pekanbaru, Kelurahan Sumahilang, Kabupaten Kampar, Riau, 28141, Indonesia;0.5262455;1.014.515.727
191;aldyofficial2;1.15e+18;Heri Purnomo (@HeriPur24069128) ...;Jangan kau hitung besar kecilnya kesalahan yg kau buat tetapi coba lihat seberapa besar DZAT yang kau tantang. Heri Purnomo · @HeriPur24069128.;;https://twitter.com/heripur24069128;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
192;tero2_boshu;38138724.0;Bungaran Sitanggang,SH.MH;·. Oct 13, 2021. Pemerintah harus aktif tangani Asuransi Bumiputera 1912. Banyak nasabah yg sdh kth tempo tidak dibayar.enyeri BUMN tolong perhatiannya.;['Asuransi Bumiputera'];https://twitter.com/bungaransitang7;Batam,Indonesia;Batam, Kepulauan Riau, Indonesia;11.061.034;1.040.378.246
193;tribunkaltim;103551225.0;Ahmad Sihotang (@AhmadSihotang4) / X;Mohon Bapak Presiden Joko Widodo, Nasabah Asuransi Bumiputera 1912 tidak dibayar Klaim kami padahal sudah habis ... Asuransi Bumiputera 1912 tolong uang rakyat.;['Asuransi Bumiputera', 'Asuransi Bumiputera'];https://twitter.com/AhmadSihotang4;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
194;minray_;7.86e+17;JakartaSatu.com;JAKARTASATU.COM — INI adalah kisah nasabah Asuransi Bumiputera 1912 yang mana Bumiputera 1912 tidak punya niat balikan Dana Nasabahnya.;['Asuransi Bumiputera'];https://twitter.com/jakartasatu2023/status/1785464906734800901;Batulicin;Batulicin Irigasi, Kalimantan Selatan, Indonesia;-33.116.454;1.159.137.556
195;atkhls;2226044208.0;Akikah Jakarta (@akikahjakarta) / ...;... No . 25, Jakarta). http://4sq.com/aUkm93. Akikah Jakarta · @akikahjakarta. ·. Jun 25, 2010. Mella (@ Asuransi bumiputera tj.priok) http://4sq.com/9O7XUa.;['Asuransi bumiputera'];https://twitter.com/akikahjakarta;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
196;RakyatMerdeka99;7.12e+17;Bambang Suprayitno (@Bambang_Sprytno) ...;... Bambang Suprayitno · @Bambang_Sprytno. ·. Jul 11, 2013 · http://yourinsurancechoice.info/wp-content/uploads/2012/11/logo-asuransi-bumiputera.jpg…;['asuransi-bumiputera'];https://twitter.com/Bambang_Sprytno;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
197;Muhamma89481659;1.17e+18;Dolewak (@AHerawan3) / X;Menggantung Harapan Terakhir Jutaan Nasabah Asuransi Bumiputera ke DPR | https://t.co/zAcfc5UHfN https://t.co/ujdXzj1WEc lewat @merdekadotcom.;['Asuransi Bumiputera'];https://twitter.com/AHerawan3;gowa,makassar,indonesia;Gowa Sarana Indah;-519.573.395;1.194.634.062
198;MataMataPolitik;8.88e+17;deddy karli;Puluhan nasabah korban gagal bayar klaim polis asuransi Bumiputera menggelar aksi di depan gedung OJK, Jakarta Selatan, Senin, 23 Mei 2022.;['asuransi Bumiputera'];https://twitter.com/deddykarli;Pati,Indonesia;Pati, Jawa Tengah, Indonesia;-670.695.115;1.110.868.496
199;RakyatMerdeka99;7.12e+17;Rasyidin (@rasyidinilham) / X;Menunggu pembayaran asuransi Bumiputera dari bulan Juli 2017,saya sudah telp call center tidak ada jawaban yang memuaskan. Mohon Bumiputera @ajb_bumiputera ...;['asuransi Bumiputera'];https://mobile.twitter.com/rasyidinilham;Balikpapan, Indonesia;Balikpapan, Kalimantan Timur, 76128, Indonesia;-12.398.711;1.168.593.379
200;Muhamma89481659;1.17e+18;murni7288 - Murnipbg;Hallo apa kabar Asuransi Bumiputera, saya selalu menunggu kabar baikmu.;['Asuransi Bumiputera'];https://twitter.com/murni7288;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
201;Taufiqqurrochm7;1.1e+18;ofix_76 - Taufiq Masduqie;Aktif di IGI Bekasi, Asuransi Jiwasraya, Asuransi Bumiputera, MI. Attaqwa 15 Babelan.;['Asuransi Bumiputera'];https://twitter.com/ofix_76;JakartaPusat,DKIJakarta;Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia;-618.233.995;1.068.428.715
202;Genpi_Co;9.67e+17;wahyupiji - UUCiptaKerjaINKONSTITUSIONAL;"... mengumpulkan seperak duaperak dan akhirnya menyetorkan ke asuransi Bumiputera tapi akhirnya duit mereka malah hilang kemakan orang"" serakah... 86.";['asuransi Bumiputera'];https://twitter.com/wahyupiji;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
203;ibnupurna;207559187.0;Il Mail;Ratapan Duka Korban Asuransi Bumiputera dan KSP Indosurya | Blog Strategi + Manajemen https://strategimanajemen.net/2023/02/13/ratapan-duka ...;['Asuransi Bumiputera'];https://twitter.com/mail_sidhik/status/1626022938779729921;PuspiptekSerpong;Bumi Puspiptek Asri, BSD City, Pagedangan, Tangerang, Banten, Indonesia;-630.019.715;1.066.317.103
204;AcehSelatanSatu;2359120716.0;Idwan Deshira (@idwand) / X;https://m.detik.com/news/suara-pembaca/d-4174093/sudah-habis-kontrak-dana-asuransi-bumiputera-belum-dicairkan… Perusahaan tidak punya hati nurani... Klaim ...;['asuransi-bumiputera'];https://twitter.com/idwand;Bandung,JawaBarat;Bandung, Jawa Barat, 40252, Indonesia;-69.344.694;1.076.049.539
205;ThenBagoess;8.09e+17;ZidneyMelan - Mee_Lan;... Hotel Gorontalo) http://4sq.com/UjM9FM · Mee_Lan · @ZidneyMelan. ·. Jul 16, 2014. I'm at Asuransi bumiputera (Gorontalo) http://4sq.com/1p4XjI0. Image.;['Asuransi bumiputera'];https://twitter.com/zidneymelan;Bogor,Indonesia;Bogor, Jawa Barat, 16121, Indonesia;-65.962.986;1.067.972.421
206;Genpi_Co;9.67e+17;Ciptania Saraswati (@Ciptania09) ...;Tolong dong bantu jawab, cara ngeklaim asuransi bumiputera gmn yakk?? Kasihan orang tua saya sudah bolak balik kantor cabang hasil nihil, kantor tutup dan ...;['asuransi bumiputera'];https://twitter.com/Ciptania09;Jawa Barat;Bandung, Jawa Barat, 40252, Indonesia;-69.344.694;1.076.049.539
207;KontanNews;43799886.0;faiz_ind - IndonesiaJaya;Legislator PDIP Lampung, Nurhasanah Ditetapkan Sebagai Tersangka Pengelolaan Asuransi Bumiputera ... asuransi-bumiputera/… 108. 411. 1K.;['Asuransi Bumiputera', 'asuransi-bumiputera'];https://twitter.com/faiz_ind;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
208;Stefanu33053489;1.03e+18;juniari sandi (@juniarisandi) / X;"Di bantu Commentnya.... 1. juniari sandi · @juniarisandi. ·. Mar 16, 2014. Kontes Foto “FUNWALK 102 Tahun Asuransi Bumiputera"" http://woobox.com/bmvn7g/6y418a.";['Asuransi Bumiputera'];https://twitter.com/juniarisandi;SeiPetani36MedanIndonesia;Jalan Sei Petani, D A R A T, Padang Bulan, Medan Baru, Kota Medan, Sumatera Utara, 20122, Indonesia;35.761.838;98.659.141
209;flowielilly;1427050592.0;oteez;Adakah yang nasabah asuransi bumiputera disini ? Sepi pemberitaannya padahal sedang colaps. Di janjikan dalam waktu 6 bulan di kembalikan, ...;['asuransi bumiputera'];https://twitter.com/edod2828/status/1138259790314893313;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
210;marfaumi;277309562.0;riski prasojo (@riskiprasojo) / X;"... @riskiprasojo · http://m.detik.com/finance/read/2013/09/30/163236/2373471/5/ojk-asuransi-bumiputera-tengah-bermasalah-perlu-perbaikan-segera…""we'll wait n see.";['asuransi-bumiputera'];https://twitter.com/riskiprasojo;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
211;jabarjuaranews;2214258534.0;Heru P. Utomo  (@Heru_P_Utomo) / ...;... saya di Asuransi Bumiputera. Krn dana tsb sangat dibutuhkan utk pembiayaan anak saya yang akan melanjutkan ke jenjang selanjutnya. Terima kasih. 1.;['Asuransi Bumiputera'];https://twitter.com/Heru_P_Utomo;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
212;elshinta_smg;7.76e+17;Maulana Yusuf (@MaullanaYusuf) / X;Asuransi Bumiputera udah, sekarang Asuransi Jiwasraya yg butuh bailout. Masalahnya sama, mismanagement.;['Asuransi Bumiputera'];https://twitter.com/maullanayusuf;JawaTengah,Indonesia;Jawa Tengah, Indonesia;-56.259.648;110.371.649
;;;;;;;KalimantanKutaiKertanegara;Kalimantan Kutai Kertanegara;-0.423174;1.169.814.363
;;;;;;;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
;;;;;;;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
;;;;;;;VMG3bloki5no.8Bekasi;Bekasi, Jawa Barat, 17144, Indonesia;-62.349.858;1.069.945.444
;;;;;;;Gd.IklanKaltimPostMarkoni;Kalimantan Timur, Indonesia;0.7884397;1.162.419.977
;;;;;;;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
;;;;;;;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
;;;;;;;Lampung,Indonesia;Lampung, Indonesia;-48.555.039;1.050.272.986
;;;;;;;BekasiIndonesia;Bekasi, Jawa Barat, 17144, Indonesia;-62.349.858;1.069.945.444
;;;;;;;Jl.RTAMilonoKm2,5Palangka;Palangka Raya, Kalimantan Tengah, 73112, Indonesia;-22.072.919;1.139.164.372
;;;;;;;Bandung,JawaBarat;Bandung, Jawa Barat, 40252, Indonesia;-69.344.694;1.076.049.539
;;;;;;;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
;;;;;;;semarang;Semarang, Jawa Tengah, Indonesia;-69.903.988;1.104.229.104
;;;;;;;Depok;Depok, Jawa Barat, 16439, Indonesia;-64.074.657;1.068.138.131
;;;;;;;Jl.Raya Kebayoran Lama No.72;Kebayoran Lama;-6.243.886;1.067.798.594
;;;;;;;Jakarta Barat, DKI Jakarta;Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia;-616.156.235;1.067.438.912
;;;;;;;Jakarta Barat, DKI Jakarta;Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia;-616.156.235;1.067.438.912
;;;;;;;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
;;;;;;;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
;;;;;;;Sunter;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
;;;;;;;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
;;;;;;;Aceh;Aceh, Indonesia;43.685.491;970.253.024
;;;;;;;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
;;;;;;;Depok;Depok, Jawa Barat, 16439, Indonesia;-64.074.657;1.068.138.131
;;;;;;;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
;;;;;;;Pamekasan, Indonesia;Pamekasan, Jawa Timur, Indonesia;-707.081.335;1.135.003.939
;;;;;;;JakartaPusat,DKIJakarta;Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia;-618.233.995;1.068.428.715
;;;;;;;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
